nmi.HCD.seq,nmi.HCD2.seq,nmi.sp.seq,ncl.NB.seq,ncl.HCD.seq,ncl.HCD2.seq,K.seq,coclust.HCD.seq,coclust.HCD2.seq,coclust.sp.seq,coclust.true.HCD.seq,coclust.true.HCD2.seq,coclust.true.sp.seq,coclust.false.HCD.seq,coclust.false.HCD2.seq,coclust.false.sp.seq,size.var,size.ratio,ncl.P.HCD,ncl.P.HCD2,ncl.P.sp,P.err.HCD,P.err.HCD2,P.err.sp,Scaled.FP.HCD,Scaled.FP.HCD2,Scaled.FP.sp,Standard.FP.HCD,Standard.FP.HCD2,Standard.FP.sp,bin.err.HCD.seq,bin.err.HCD2.seq,bin.err.HCD.P.seq,bin.err.HCD2.P.seq,bin.err.sp.P.seq,mega2.nmi.sp.seq,mega4.nmi.sp.seq,mega2.nmi.HCD.seq,mega2.nmi.HCD2.seq,mega4.nmi.HCD.seq,mega4.nmi.HCD2.seq,mega2.coclust.HCD.seq,mega2.coclust.HCD2.seq,mega2.coclust.sp.seq,mega2.acc.HCD.seq,mega2.acc.HCD2.seq,mega2.acc.sp.seq,mega4.coclust.HCD.seq,mega4.coclust.HCD2.seq,mega4.coclust.sp.seq,mega4.acc.HCD.seq,mega4.acc.HCD2.seq,mega4.acc.sp.seq,sp2.acc.seq,sp4.acc.seq,mega2.nmi.HCD.varimax.seq,mega4.nmi.HCD.varimax.seq,mega2.nmi.sp.varimax.seq,mega4.nmi.sp.varimax.seq,ncl.P.HCD.varimax.seq,ncl.P.sp.varimax.seq,P.err.HCD.varimax.seq,P.err.sp.varimax.seq,bin.err.HCD.varimax.seq,bin.err.HCD.varimax.P.seq,bin.err.sp.varimax.P.seq,mega2.coclust.HCD.varimax.seq,mega2.coclust.sp.varimax.seq,mega2.acc.HCD.varimax.seq,mega2.acc.sp.varimax.seq,sp2.varimax.acc.seq,mega4.coclust.HCD.varimax.seq,mega4.coclust.sp.varimax.seq,mega4.acc.HCD.varimax.seq,mega4.acc.sp.varimax.seq,sp4.varimax.acc.seq,nmi.HCD.varimax.seq,nmi.sp.varimax.seq,ncl.HCD.varimax.seq,id
1,1,1,4,4,4,4,1,1,1,1,1,1,0,0,0,0,1,4,4,4,0.000124134159087819,0.000124134159087819,0.000124134159087819,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,4,4,0.000124134159087819,0.000124134159087819,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,1
0.94690250969607,0.960147643173513,0.951436908462971,8,8,8,8,0.994749609375,0.996283984375,0.9952056640625,0.979040625,0.9851625,0.9809046875,0.00300625,0.00212723214285714,0.00275133928571429,0,1,8,8,8,0.0114455912251871,0.00817163637568534,0.0104332182980452,0,0,0,0,0,0,0.00113644818722944,0.000804332386363636,0.00113644818722944,0.000804332386363636,0.00103773505140693,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,8,8,0.0114455912251871,0.0114367329893382,0.00113644818722944,0.00113644818722944,0.00113687094155844,1,1,1,1,1,1,1,1,1,1,0.94690250969607,0.94709013293483,8,1
0.827429372740215,0.83134270400058,0.758837463225266,13,16,16,16,0.983350390625,0.98353828125,0.971598828125,0.8670125,0.869425,0.78805625,0.00889375,0.00885416666666667,0.016165,0,1,16,16,16,0.0485107461332912,0.0477372950722778,0.0801164783224712,0,0,0,0,0,0,0.0035143665157186,0.00341840120652123,0.0035143665157186,0.00341840120652123,0.00931832579154246,0.973123204441524,0.972341205541988,1,1,1,1,1,1,0.997503125,1,1,0,1,1,0.9971984375,1,1,0,1,1,1,1,0.849649708508534,0.855140150401293,16,16,0.0485107461332912,0.109803722981112,0.0035143665157186,0.0035143665157186,0.0354093137243798,1,0.977753125,1,0.98875,1,1,0.979857421875,1,0.9796875,1,0.827429372740215,0.719800545405788,16,1
0.658245601074847,0.667526390949255,0.533724484112425,9,16,16,32,0.9597849609375,0.96046484375,0.946405078125,0.85668125,0.868225,0.67970625,0.0368891129032258,0.0365596774193548,0.0449917338709677,0,1,16,16,16,0.0971157330154158,0.093109784158436,0.167411404275486,0,0,0,0,0,0,0.01355178611996,0.0126383817380221,0.01355178611996,0.0126383817380221,0.0392199176325822,0.892122320516256,0.862096827738304,0.99247432929296,1,0.98685462431854,0.990278833720316,0.9993751953125,1,0.9869611328125,0.9996875,1,0,0.9987517578125,0.9990634765625,0.9814982421875,0.99875,0.9990625,0,1,0.99875,1,0.990278833720316,0.577833081296849,0.623806366222316,16,16,0.0960051206467634,0.225926729777323,0.0129219386900428,0.0129219386900428,0.132546882091322,1,0.9112111328125,1,0.9534375,1,0.9990634765625,0.9279220703125,0.9990625,0.925,0.9990625,0.659585620441846,0.473773670360672,16,1
0.485722182092499,0.493805237187946,0.304346493044263,8,16,16,64,0.9450095703125,0.944978125,0.932958984375,0.7433125,0.75475,0.4063625,0.0517888888888889,0.052002380952381,0.0586823412698413,0,1,16,16,16,0.166126373463767,0.161936582072121,0.281597368602041,0,0,0,0,0,0,0.0383208567828433,0.0357253701974503,0.0383208567828433,0.0357253701974503,0.137985595048306,0.621243028939317,0.587130289718349,0.956085781018422,0.967008072613493,0.920526266807283,0.932707822461668,0.9956345703125,0.9968798828125,0.92665703125,0.9978125,0.9984375,0,0.9910044921875,0.9925462890625,0.92283203125,0.9909375,0.9925,0,0.9984375,0.9934375,0.961384379480282,0.923145090877464,0.0864074258237177,0.395059583067849,16,16,0.165536950475957,0.301378178825287,0.0377853669189107,0.0377853669189107,0.30187506828607,0.99625703125,0.583028125,0.998125,0.70375,0.998125,0.9913140625,0.8402044921875,0.99125,0.82375,0.9925,0.486051397540606,0.302973639032082,16,1
1,1,1,4,4,4,4,1,1,1,1,1,1,0,0,0,0,1,4,4,4,8.76502191465377e-05,8.76502191465377e-05,8.76502191465377e-05,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,4,4,8.76502191465377e-05,8.76502191465377e-05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,2
0.946921768693013,0.942753130145822,0.926896852249515,8,8,8,8,0.9949025390625,0.994439453125,0.992458984375,0.9796171875,0.97776875,0.9699125,0.00291383928571429,0.00317901785714286,0.00432008928571429,0,1,8,8,8,0.0112540147932296,0.0122652369182363,0.016864998989005,0,0,0,0,0,0,0.0011033465232684,0.00120358157467532,0.0011033465232684,0.00120358157467532,0.0017680854301948,1,0.99654144353651,1,1,1,1,1,1,1,1,1,0,1,1,0.9996876953125,1,1,0,1,1,1,1,1,0.99654144353651,8,8,0.0112540147932296,0.013982814147133,0.0011033465232684,0.0011033465232684,0.00147122734036797,1,1,1,1,1,1,0.9996876953125,1,0.9996875,1,0.946921768693013,0.936745429149452,8,2
0.814235971462559,0.825855572330613,0.714756702916874,9,16,16,16,0.981779296875,0.98280859375,0.9671388671875,0.854615625,0.86329375,0.74211875,0.009743125,0.00922375,0.0178597916666667,0,1,16,16,16,0.0518865620633913,0.0480388154993475,0.0896420539586832,0,0,0,0,0,0,0.00399999999986512,0.00349950980380356,0.00399999999986512,0.00349950980380356,0.0121314856707825,0.964992551620302,0.96524628891145,1,1,1,1,1,1,0.99625703125,1,1,0,1,1,0.996570703125,1,1,0,1,1,1,1,0.166826287072777,0.552528867505662,16,16,0.0518865620633913,0.1366435106718,0.00399999999986512,0.00399999999986512,0.054301885368254,1,0.62688203125,1,0.751875,1,1,0.827049609375,1,0.6090625,1,0.814235971462559,0.67115787235585,16,2
0.634851786541975,0.652677866422132,0.490748061836889,9,16,16,32,0.957907421875,0.9594927734375,0.942762109375,0.8272,0.85258125,0.60331875,0.0378762096774194,0.0370584677419355,0.0462881048387097,0,1,16,16,16,0.109743234696921,0.100778233871576,0.186199047466897,0,0,0,0,0,0,0.0160267351692069,0.0147836347954297,0.0160267351692069,0.0147836347954297,0.046007062390718,0.889267690187229,0.848109441072847,0.99247432929296,0.99247432929296,0.975710307134927,0.975710307134927,0.9993751953125,0.9993751953125,0.98634453125,0.9996875,0.9996875,0,0.9975064453125,0.9975064453125,0.97969921875,0.9975,0.9975,0,0.9996875,0.9978125,0.99247432929296,0.975710307134927,0.634690761710248,0.643729571078826,16,16,0.109743234696921,0.226326384455776,0.0160267351692069,0.0160267351692069,0.119695531884704,0.9993751953125,0.92896953125,0.9996875,0.963125,0.9996875,0.9975064453125,0.9308611328125,0.9975,0.928125,0.9978125,0.634851786541975,0.470119959087778,16,2
0.469715644519809,0.486970690865052,0.305103305902926,8,17,16,64,0.9456330078125,0.94481484375,0.9333123046875,0.7021875,0.74705,0.4046,0.0505027777777778,0.0520460317460317,0.0582954365079365,0,1,17,16,16,0.177658865726612,0.165550540316053,0.275945391323989,0,0,0,0,0,0,0.0403369009880312,0.0370790530562718,0.0403369009880312,0.0370790530562718,0.127893147914243,0.647071780558779,0.630280846181891,0.978815631995247,0.986237167638268,0.909487995462046,0.924241512864602,0.9981267578125,0.99875078125,0.9341955078125,0.9990625,0.999375,0,0.9885642578125,0.9907076171875,0.9355931640625,0.9884375,0.990625,0,0.999375,0.988125,0.978815631995247,0.909487995462046,0.090329544666855,0.34877544232314,17,17,0.177658865726612,0.314178535012514,0.0403369009880312,0.0403369009880312,0.284246113585959,0.9981267578125,0.5762939453125,0.9990625,0.6953125,0.9990625,0.9885642578125,0.8353806640625,0.9884375,0.8134375,0.9878125,0.469715644519809,0.287036139143949,17,2
