labels,lab,author
1,Bayesian methodology (66),"Alan E Gelfand, David Dunson, Abel Rodriguez, Gary L Rosner, Peter Muller, Steven N MacEachern, Lawrence Carin, Mark F J Steel, Gareth Roberts, Ju-Hyun Park"
2,Bayesian theory (31),"Mike West, Hemant Ishwaran, J Sunil Rao, Carlos M Carvalho, James O Berger, Helene Massam, James G Scott, Chris Hans, Anirban Bhattacharya, Nicholas G Polson"
3,Design of experiments (40),"Boxin Tang, Randy R Sitter, Derek Bingham, C Devon Lin, Dennis K J Lin, David M Steinberg, Neil A Butler, Hongquan Xu, V Roshan Joseph, Shan Ba"
4,Multivariate & dimension reduction (17),"Bing Li, R Dennis Cook, Peng Zeng, Liqiang Ni, Francesca Chiaromonte, Yuexiao Dong, Robert E Weiss, Zhishen Ye, Ronghua Luo, Xiangrong Yin"
5,High-dimensional theory (54),"Alexandre B Tsybakov, Marten H Wegkamp, Iain M Johnstone, Florentina Bunea, Vladimir Koltchinskii, Alexandre Belloni, Victor Chernozhukov, Karim Lounici, Yaacov Ritov, Bernard W Silverman"
6,Sampling & hypothesis testing (54),"Joseph P Romano, Michael Wolf, Etienne Roquain, Gilles Blanchard, Sylvain Arlot, Larry Wasserman, Christopher Genovese, E L Lehmann, Chunming Zhang, Tao Yu"
7,Multiple testing & inference (56),"John D Storey, T Tony Cai, Yoav Benjamini, Jiashun Jin, Bradley Efron, David L Donoho, Jonathan E Taylor, David Siegmund, Sanat K Sarkar, Thorsten Dickhaus"
8,Functional data analysis (13),"Hans-Georg Muller, Jane-Ling Wang, Fang Yao, Peter Hall, R Todd Ogden, Philip T Reiss, David Ruppert, Jeffrey S Morris, Gerda Claeskens, Jianwei Chen"
9,Functional data & time series (60),"Lajos Horvath, Robertas Gabrys, Chong-Zhi Di, Ana-Maria Staicu, Siegfried Hormann, Piotr Kokoszka, Tailen Hsing, Kehui Chen, Ci-Ren Jiang, Pascal Sarda"
10,Non- & semi-parametric methods (114),"Raymond J Carroll, Xihong Lin, Naisyin Wang, Xuming He, Donglin Zeng, Enno Mammen, Guosheng Yin, Hua Liang, Joseph G Ibrahim, Jing Qin"
11,High-dimensional methodology (201),"Hui Zou, Jianqing Fan, Yi Lin, Peter Buhlmann, Trevor J Hastie, Ming Yuan, Hao Helen Zhang, Jian Huang, Hansheng Wang, Ji Zhu"
